k,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max
1,Jeremy Affeldt*\affelje01,27,TOT,97.1,54,9,2,5,2,2,1,4,5,.444,0,2,0,0,1,11%,,60,4,23,10,0,4,4.3,2.7,4.7,90,2,4,3,0,110
2,Matt Albers\alberma01,23,HOU,15.0,4,2,0,2,0,0,0,0,2,.000,0,0,0,0,0,0%,33.0,34,32,3,1,0,2,3.0,1.8,4.8,86,0,2,0,0,91
3,Tony Armas\armasto02,28,WSN,154.0,30,30,9,12,9,2,3,12,18,.400,3,3,0,0,13,43%,45.8,75,8,21,6,0,9,5.0,5.1,5.1,92,6,14,10,0,119
4,Bronson Arroyo\arroybr01,29,CIN,240.2,35,35,14,11,10,0,3,21,14,.600,4,5,3,1,23,66%,56.3,86,19,3,2,2,11,4.6,4.4,6.9,110,0,4,28,3,127
5,Miguel Asencio\asencmi01,25,COL,7.2,3,1,0,0,1,0,0,1,0,1.000,0,0,0,0,0,0%,33.0,33,33,2,0,1,0,7.0,15.8,3.7,78,1,0,0,0,78
6,Pedro Astacio\astacpe01,37,WSN,90.1,17,17,5,5,7,3,1,8,9,.471,3,3,1,1,5,29%,42.0,88,14,19,6,0,6,5.6,4.7,5.3,85,6,7,4,0,106
7,Brandon Backe\backebr01,28,HOU,43.0,8,8,3,2,3,0,0,3,5,.375,0,2,0,0,4,50%,49.5,65,24,3,0,0,5,4.1,4.2,5.4,84,2,5,1,0,101
8,Cha-Seung Baek\baekch01,26,SEA,34.1,6,6,4,1,1,1,0,5,1,.833,0,0,0,0,3,50%,53.5,72,20,3,1,0,4,5.1,5.6,5.7,96,1,1,4,0,107
9,Scott Baker\bakersc02,24,MIN,83.1,16,16,5,8,3,2,1,7,9,.438,0,1,0,0,4,25%,41.3,70,16,6,3,0,11,4.4,4.5,5.2,90,3,10,3,0,107
10,Brian Bannister\bannibr01,25,NYM,38.0,8,6,2,1,3,1,0,3,3,.500,2,0,0,0,2,33%,52.0,68,40,0,0,0,3,5.0,5.0,5.7,99,0,2,4,0,112
11,Kevin Barry\barryke01,27,ATL,25.2,19,1,0,1,0,0,0,0,1,.000,0,0,0,0,0,0%,24.0,24,24,9,2,0,1,5.0,0.0,3.3,69,1,0,0,0,69
12,Miguel Batista\batismi01,35,ARI,206.1,34,33,11,8,14,2,3,19,14,.576,2,8,3,1,17,52%,46.4,78,17,14,2,0,14,5.4,5.0,6.2,99,5,10,16,2,124
13,Rick Bauer\bauerri01,29,TEX,71.0,58,1,0,0,1,0,0,0,1,.000,1,0,0,0,0,0%,56.0,56,56,13,3,1,0,4.0,4.5,5.3,84,0,1,0,0,84
14,Denny Bautista\bautide01,25,TOT,41.2,12,8,0,3,5,0,1,3,5,.375,1,2,0,0,2,25%,42.5,66,24,7,3,0,5,5.3,5.5,4.2,80,3,4,1,0,100
15,Josh Beckett\beckejo02,26,BOS,204.2,33,33,16,11,6,1,2,18,15,.545,2,2,0,0,19,58%,49.8,81,9,13,5,0,15,5.1,5.4,6.2,98,3,9,20,1,121
16,Erik Bedard*\bedarer01,27,BAL,196.1,33,33,15,11,7,1,0,17,16,.515,5,4,0,0,20,61%,52.5,90,19,9,2,0,12,5.1,5.3,5.9,100,3,6,24,0,115
